fips_code,county,state,customers_out,run_start_time
09009,New Haven,Connecticut,2,2019-01-01 00:00:00
09009,New Haven,Connecticut,2,2019-01-01 00:15:00
09009,New Haven,Connecticut,3,2019-01-01 00:30:00
09009,New Haven,Connecticut,3,2019-01-01 00:45:00
09009,New Haven,Connecticut,3,2019-01-01 01:00:00
09009,New Haven,Connecticut,3,2019-01-01 01:15:00
09009,New Haven,Connecticut,3,2019-01-01 01:30:00
09009,New Haven,Connecticut,3,2019-01-01 01:45:00
09009,New Haven,Connecticut,3,2019-01-01 02:00:00
09001,Fairfield,Connecticut,51,2019-01-01 02:15:00
09009,New Haven,Connecticut,3,2019-01-01 02:15:00
09001,Fairfield,Connecticut,51,2019-01-01 02:30:00
09009,New Haven,Connecticut,3,2019-01-01 02:30:00
09009,New Haven,Connecticut,3,2019-01-01 02:45:00
09009,New Haven,Connecticut,3,2019-01-01 03:00:00
09009,New Haven,Connecticut,3,2019-01-01 03:15:00
09011,New London,Connecticut,1,2019-01-01 03:15:00
09003,Hartford,Connecticut,1,2019-01-01 03:30:00
09005,Litchfield,Connecticut,1,2019-01-01 03:30:00
09009,New Haven,Connecticut,1,2019-01-01 03:30:00
09011,New London,Connecticut,4,2019-01-01 03:30:00
09009,New Haven,Connecticut,1,2019-01-01 03:45:00
09011,New London,Connecticut,4,2019-01-01 03:45:00
09003,Hartford,Connecticut,8,2019-01-01 04:00:00
09009,New Haven,Connecticut,1,2019-01-01 04:00:00
09011,New London,Connecticut,4,2019-01-01 04:00:00
09003,Hartford,Connecticut,8,2019-01-01 04:15:00
09009,New Haven,Connecticut,1,2019-01-01 04:15:00
09003,Hartford,Connecticut,8,2019-01-01 04:30:00
09009,New Haven,Connecticut,1,2019-01-01 04:30:00
09003,Hartford,Connecticut,8,2019-01-01 04:45:00
09009,New Haven,Connecticut,1,2019-01-01 04:45:00
09003,Hartford,Connecticut,8,2019-01-01 05:00:00
09009,New Haven,Connecticut,1,2019-01-01 05:00:00
09003,Hartford,Connecticut,74,2019-01-01 05:15:00
09009,New Haven,Connecticut,1,2019-01-01 05:15:00
09003,Hartford,Connecticut,74,2019-01-01 05:30:00
09009,New Haven,Connecticut,1,2019-01-01 05:30:00
09003,Hartford,Connecticut,74,2019-01-01 05:45:00
09009,New Haven,Connecticut,1,2019-01-01 05:45:00
09003,Hartford,Connecticut,68,2019-01-01 06:00:00
09009,New Haven,Connecticut,1,2019-01-01 06:00:00
09003,Hartford,Connecticut,75,2019-01-01 06:15:00
09009,New Haven,Connecticut,1,2019-01-01 06:15:00
09003,Hartford,Connecticut,20,2019-01-01 06:30:00
09009,New Haven,Connecticut,1,2019-01-01 06:30:00
09003,Hartford,Connecticut,20,2019-01-01 06:45:00
09009,New Haven,Connecticut,1,2019-01-01 06:45:00
09003,Hartford,Connecticut,20,2019-01-01 07:00:00
09009,New Haven,Connecticut,1,2019-01-01 07:00:00
09003,Hartford,Connecticut,19,2019-01-01 07:15:00
09009,New Haven,Connecticut,1,2019-01-01 07:15:00
09011,New London,Connecticut,1,2019-01-01 07:15:00
09003,Hartford,Connecticut,19,2019-01-01 07:30:00
09009,New Haven,Connecticut,1,2019-01-01 07:30:00
09011,New London,Connecticut,1,2019-01-01 07:30:00
09003,Hartford,Connecticut,19,2019-01-01 07:45:00
09009,New Haven,Connecticut,1,2019-01-01 07:45:00
09011,New London,Connecticut,1,2019-01-01 07:45:00
09003,Hartford,Connecticut,12,2019-01-01 08:00:00
09009,New Haven,Connecticut,1,2019-01-01 08:00:00
09011,New London,Connecticut,1,2019-01-01 08:00:00
09003,Hartford,Connecticut,12,2019-01-01 08:15:00
09009,New Haven,Connecticut,1,2019-01-01 08:15:00
09011,New London,Connecticut,22,2019-01-01 08:15:00
09003,Hartford,Connecticut,12,2019-01-01 08:30:00
09007,Middlesex,Connecticut,54,2019-01-01 08:30:00
09009,New Haven,Connecticut,1,2019-01-01 08:30:00
09011,New London,Connecticut,22,2019-01-01 08:30:00
09007,Middlesex,Connecticut,54,2019-01-01 08:45:00
09009,New Haven,Connecticut,1,2019-01-01 08:45:00
09011,New London,Connecticut,22,2019-01-01 08:45:00
09007,Middlesex,Connecticut,54,2019-01-01 09:00:00
09009,New Haven,Connecticut,1,2019-01-01 09:00:00
09011,New London,Connecticut,22,2019-01-01 09:00:00
09007,Middlesex,Connecticut,2,2019-01-01 09:15:00
09009,New Haven,Connecticut,1,2019-01-01 09:15:00
09011,New London,Connecticut,22,2019-01-01 09:15:00
09007,Middlesex,Connecticut,2,2019-01-01 09:30:00
09009,New Haven,Connecticut,1,2019-01-01 09:30:00
09005,Litchfield,Connecticut,1,2019-01-01 09:45:00
09007,Middlesex,Connecticut,2,2019-01-01 09:45:00
09009,New Haven,Connecticut,1,2019-01-01 09:45:00
09003,Hartford,Connecticut,1,2019-01-01 10:00:00
09005,Litchfield,Connecticut,1,2019-01-01 10:00:00
09007,Middlesex,Connecticut,2,2019-01-01 10:00:00
09009,New Haven,Connecticut,1,2019-01-01 10:00:00
