method,lat,lon,wind_mph
gaussian,41.53787,-72.51184,22.7
gaussian,41.61157,-73.18876,27.3
gaussian,41.93387,-72.41986,33.7
gaussian,41.86903,-72.86418,31.0
gaussian,41.66964,-73.13432,27.9
gaussian,41.6055,-72.26692,27.7
gaussian,41.79495,-72.04753,28.3
gaussian,41.49167,-73.23393,21.3
gaussian,41.84853,-72.95866,31.9
gaussian,42.01736,-73.10034,35.7
gaussian,41.54764,-73.2751,25.9
gaussian,42.00481,-72.89835,35.5
gaussian,41.85362,-73.12855,31.5
gaussian,41.38834,-72.45224,22.5
gaussian,41.7229,-72.71729,25.9
gaussian,41.98002,-73.0403,33.5
gaussian,41.85672,-72.15731,29.5
gaussian,41.61474,-72.61605,20.6
gaussian,41.89057,-72.67573,32.6
gaussian,41.52425,-73.03964,22.6
gaussian,41.35635,-72.01304,24.7
gaussian,41.45642,-73.13934,21.7
gaussian,41.63141,-71.97783,27.0
gaussian,41.74958,-73.49526,26.2
gaussian,41.55265,-72.19474,27.4
gaussian,41.93534,-73.4598,34.0
gaussian,41.50698,-72.74878,21.9
gaussian,41.43105,-73.50754,25.9
gaussian,41.37816,-72.80511,18.3
gaussian,41.7951,-72.03143,28.2
gaussian,41.95127,-72.36756,33.5
gaussian,41.81202,-71.88423,26.6
gaussian,42.00602,-73.38207,32.0
gaussian,41.89748,-72.96333,31.4
gaussian,41.95232,-72.2041,32.0
gaussian,41.99831,-73.48723,37.2
gaussian,41.77615,-72.18075,26.9
gaussian,42.01926,-73.1977,35.8
gaussian,41.73867,-72.36359,28.6
gaussian,41.55715,-71.85439,28.2
gaussian,41.71789,-72.33656,28.7
gaussian,41.86583,-73.21136,33.2
gaussian,41.6125,-72.34575,28.0
gaussian,41.99144,-72.59699,34.3
gaussian,41.57201,-72.73008,21.1
gaussian,41.62845,-71.98285,27.2
gaussian,41.55282,-72.54155,22.2
gaussian,41.66347,-73.05055,26.3
gaussian,41.05719,-73.55026,23.3
gaussian,41.81589,-72.75657,32.1
gaussian,41.60042,-73.20554,25.2
gaussian,41.3502,-73.11653,16.4
gaussian,41.81527,-73.13927,30.1
gaussian,41.45989,-72.04711,27.0
gaussian,41.58204,-71.99806,27.4
gaussian,41.71488,-72.73613,25.9
gaussian,41.4286,-71.98614,25.3
gaussian,41.52181,-73.17348,24.0
gaussian,41.72802,-73.15124,28.7
gaussian,41.7405,-73.07085,29.8
gaussian,41.55054,-72.8371,21.6
gaussian,41.58206,-72.26935,28.0
gaussian,41.6017,-73.36791,27.0
gaussian,41.56935,-72.45658,22.9
gaussian,41.73247,-72.80692,27.9
gaussian,41.543,-73.51873,26.8
gaussian,41.7355,-72.31606,28.9
gaussian,41.54953,-73.36325,26.9
gaussian,41.95528,-72.82302,34.0
gaussian,41.47327,-71.87705,25.5
gaussian,41.95072,-72.16408,30.8
gaussian,41.48409,-71.94988,26.0
gaussian,41.88486,-72.18524,30.0
gaussian,41.83313,-73.29427,32.8
gaussian,41.49145,-71.90738,27.0
gaussian,41.89623,-71.80181,28.2
gaussian,41.56531,-73.22754,23.5
gaussian,41.34565,-71.84371,25.5
gaussian,41.81505,-73.11652,31.0
gaussian,41.76525,-72.51283,30.0
gaussian,41.82035,-72.56002,30.6
